Circonscription,province,parti,Date de début,Date de fin,nom,genre,legislature,urlPhoto
Trois-Rivières,Québec,NPD,2015-10-19 00:00:00,2019-10-20 23:59:59,Robert Aubin,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/NaultRobert_Lib.jpg
Thérèse-De Blainville,Québec,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Ramez Ayoub,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/AyoubRamez_Lib.jpg
Niagara-Centre,Ontario,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Vance Badawey,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/BadaweyVance_Lib.jpg
Yukon,Territoires,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Larry Bagnell,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/BagnellLarry_Lib.jpg
Mississauga—Malton,Ontario,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Navdeep Bains,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/Erskine-SmithNathaniel_Lib.jpg
Foothills,Alberta,PCC,2015-10-19 00:00:00,2019-10-20 23:59:59,John Barlow,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/BarlowJohn_CPC.jpg
Leeds—Grenville—Thousand Islands et Rideau Lakes,Ontario,PCC,2018-12-03 00:00:00,2019-10-20 23:59:59,Michael Barrett,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/JolyMélanie_Lib.jpg
Pierre-Boucher—Les Patriotes—Verchères,Québec,BQ,2015-10-19 00:00:00,2019-10-20 23:59:59,Xavier Barsalou-Duval,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/BarsalouDuvalXavier_BQ.jpg
Pierrefonds—Dollard,Québec,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Frank Baylis,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/BaylisFrank_Lib.jpg
La Pointe-de-l'Île,Québec,BQ,2015-10-19 00:00:00,2019-10-20 23:59:59,Mario Beaulieu,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/GladuMarilyn_CPC.jpg
Burnaby-Nord—Seymour,Colombie-Britannique,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Terry Beech,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/FalkTed_CPC.jpg
Ottawa—Vanier,Ontario,PLC,2015-10-19 00:00:00,2016-08-15 23:59:59,Mauril Bélanger,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/DubéMatthew_NDP.jpg
Calgary Heritage,Alberta,PCC,2017-04-03 00:00:00,2019-10-20 23:59:59,Bob Benzen,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/BenzenBob_CPC.jpg
Beauce,Québec,Ind.,2015-10-19 00:00:00,2019-10-20 23:59:59,Maxime Bernier,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/GreenMatthew_NDP.jpg
Mégantic—L'Érable,Québec,PCC,2015-10-19 00:00:00,2019-10-20 23:59:59,Luc Berthold,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/BertholdLuc_CPC.jpg
Selkirk—Interlake—Eastman,Manitoba,PCC,2015-10-19 00:00:00,2019-10-20 23:59:59,James Bezan,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/BezanJames_CPC.jpg
St. Catharines,Ontario,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Chris Bittle,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/HardcastleCheryl_NDP.jpg
Elmwood—Transcona,Manitoba,NPD,2015-10-19 00:00:00,2019-10-20 23:59:59,Daniel Blaikie,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/BlaikieDaniel_NDP.jpg
Scarborough-Sud-Ouest,Ontario,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Bill Blair,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/BlairBill_Lib.jpg
Bellechasse—Les Etchemins—Lévis,Québec,PCC,2015-10-19 00:00:00,2019-10-20 23:59:59,Steven Blaney,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/BlaneySteven_CPC.jpg
Edmonton-Centre,Alberta,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Randy Boissonnault,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/BoissonnaultRandy_Lib.jpg
Hastings—Lennox and Addington,Ontario,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Mike Bossio,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/RempelMichelle_CPC.jpg
Terrebonne,Québec,BQ,2015-10-19 00:00:00,2019-10-20 23:59:59,Michel Boudrias,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/LevittMichael_Lib.jpg
Rosemont—La Petite-Patrie,Québec,NPD,2015-10-19 00:00:00,2019-10-20 23:59:59,Alexandre Boulerice,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/BoulericeAlexandre_NDP.jpg
Barrie—Innisfil,Ontario,PCC,2015-10-19 00:00:00,2019-10-20 23:59:59,John Brassard,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/BrassardJohn_CPC.jpg
Hamilton-Est—Stoney Creek,Ontario,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Bob Bratina,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/BratinaBob_Lib.jpg
Shefford,Québec,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Pierre Breton,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/LawrencePhilip_CPC.jpg
Kings—Hants,Provinces maritimes,PLC,2015-10-19 00:00:00,2019-02-10 23:59:59,Scott Brison,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/DuvallScott_NDP.jpg
Leeds—Grenville—Thousand Islands et Rideau Lakes,Ontario,PCC,2015-10-19 00:00:00,2018-05-02 23:59:00,Gordon Brown,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/BrownGordon_CPC.jpg
Red Deer—Lacombe,Alberta,PCC,2015-10-19 00:00:00,2019-10-20 23:59:59,Blaine Calkins,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/CalkinsBlaine_CPC.jpg
Okanagan-Sud—Kootenay-Ouest,Colombie-Britannique,NPD,2015-10-19 00:00:00,2019-10-20 23:59:59,Richard Cannings,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/HébertRichard_Lib.jpg
Rimouski-Neigette—Témiscouata—Les Basques,Québec,NPD,2015-10-19 00:00:00,2019-10-20 23:59:59,Guy Caron,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/CaronGuy_NDP.jpg
Winnipeg-Centre-Sud,Manitoba,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Jim Carr,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/CarrJim_Lib.jpg
Oshawa,Ontario,PCC,2015-10-19 00:00:00,2019-10-20 23:59:59,Colin Carrie,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/CarrieColin_CPC.jpg
Cumberland—Colchester,Provinces maritimes,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Bill Casey,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/CaseyBill_Lib.jpg
Charlottetown,Provinces maritimes,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Sean Casey,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/FraserSean_Lib.jpg
Saint-Maurice—Champlain,Québec,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,François-Philippe Champagne,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/ChampagneFrancoisPhilippe_Lib.jpg
Scarborough—Agincourt,Ontario,PLC,2015-10-19 00:00:00,2017-09-14 12:00:00,Arnold Chan,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/ChanArnold_Lib.jpg
Scarborough-Nord,Ontario,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Shaun Chen,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/MalcolmsonSheila_NDP.jpg
Wellington—Halton Hills,Ontario,PCC,2015-10-19 00:00:00,2019-10-20 23:59:59,Michael Chong,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/LantsmanMelissa_CPC.jpg
Drummond,Québec,NPD,2015-10-19 00:00:00,2019-10-20 23:59:59,François Choquette,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/ChoquetteFrançois_NDP.jpg
Hamilton-Centre,Ontario,NPD,2015-10-19 00:00:00,2019-10-20 23:59:59,David Christopherson,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/ChristophersonDavid_NDP.jpg
Beauport—Limoilou,Québec,PCC,2015-10-19 00:00:00,2019-10-20 23:59:59,Alupa Clarke,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/ClarkeAlupa_CPC.jpg
Parry Sound—Muskoka,Ontario,Ind.,2015-10-19 00:00:00,2019-10-20 23:59:59,Tony Clement,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/ClementTony_CPC.jpg
St. Albert—Edmonton,Alberta,PCC,2015-10-19 00:00:00,2019-10-20 23:59:59,Michael Cooper,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/BarrettMichael_CPC.jpg
Acadie—Bathurst,Provinces maritimes,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Serge Cormier,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/AliShafqat_Lib.jpg
Skeena—Bulkley Valley,Colombie-Britannique,NPD,2015-10-19 00:00:00,2019-10-20 23:59:59,Nathan Cullen,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/SinclairDesgagnéNathalie_BQ.jpg
Cape Breton—Canso,Provinces maritimes,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Rodger Cuzner,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/SaganashRomeo_NDP.jpg
York—Simcoe,Ontario,PCC,2019-02-25 00:00:00,2019-10-20 23:59:59,Scot Davidson,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/AitchisonScott_CPC.jpg
Vancouver Kingsway,Colombie-Britannique,NPD,2015-10-19 00:00:00,2019-10-20 23:59:59,Don Davies,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/DaviesDon_NDP.jpg
Fredericton,Provinces maritimes,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Matt DeCourcey,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/MonsefMaryam_Lib.jpg
Louis-Saint-Laurent,Québec,PCC,2015-10-19 00:00:00,2019-10-20 23:59:59,Gérard Deltell,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/DeltellGérard_CPC.jpg
Surrey—Newton,Colombie-Britannique,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Sukh Dhaliwal,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/MacKinnonSteven_Lib.jpg
Saint-Léonard—Saint-Michel,Québec,PLC,2015-10-19 00:00:00,2019-01-29 23:59:59,Nicola Di Iorio,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/WhalenNick_Lib.jpg
Saint-Laurent,Québec,PLC,2015-10-19 00:00:00,2017-02-06 23:59:59,Stéphane Dion,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/LauzonStéphane_Lib.jpg
Edmonton Griesbach,Alberta,PCC,2015-10-19 00:00:00,2019-10-20 23:59:59,Kerry Diotte,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/DiotteKerry_CPC.jpg
Cariboo—Prince George,Colombie-Britannique,PCC,2015-10-19 00:00:00,2019-10-20 23:59:59,Todd Doherty,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/DohertyTodd_CPC.jpg
Port Moody—Coquitlam,Colombie-Britannique,NPD,2015-10-19 00:00:00,2019-10-20 23:59:59,Fin Donnelly,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/DonnellyFin_NDP.jpg
Red Deer—Mountain View,Alberta,PCC,2015-10-19 00:00:00,2019-10-20 23:59:59,Earl Dreeshen,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/DreeshenEarl_CPC.jpg
Glengarry—Prescott—Russell,Ontario,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Francis Drouin,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/DrouinFrancis_Lib.jpg
Beloeil—Chambly,Québec,NPD,2015-10-19 00:00:00,2019-10-20 23:59:59,Matthew Dubé,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/DeCourceyMatt_Lib.jpg
Bourassa,Québec,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Emmanuel Dubourg,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/DubourgEmmanuel_Lib.jpg
Québec,Québec,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Jean-Yves Duclos,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/DuclosJeanYves_Lib.jpg
Winnipeg-Sud,Manitoba,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Terry Duguid,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/DowdallTerry_CPC.jpg
Sherbrooke,Québec,NPD,2015-10-19 00:00:00,2019-10-20 23:59:59,Pierre-Luc Dusseault,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/PoilievrePierre_CPC.jpg
Hamilton Mountain,Ontario,NPD,2015-10-19 00:00:00,2019-10-20 23:59:59,Scott Duvall,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/ReidScott_CPC.jpg
Malpeque,Provinces maritimes,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Wayne Easter,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/EasterWayne_Lib.jpg
Yellowhead,Alberta,PCC,2015-10-19 00:00:00,2019-10-20 23:59:59,Jim Eglinski,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/EglinskiJim_CPC.jpg
Willowdale,Ontario,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Ali Ehsassi,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/EhsassiAli_Lib.jpg
Laval—Les Îles,Québec,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Fayçal El-Khoury,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/ElKhouryFayçal_Lib.jpg
Baie de Quinte,Ontario,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Neil Ellis,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/BainsNavdeep_Lib.jpg
Beaches—East York,Ontario,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Nathaniel Erskine-Smith,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/CullenNathan_NDP.jpg
Sydney—Victoria,Provinces maritimes,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Mark Eyking,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/BoutinSweetMarjolaine_NDP.jpg
Charleswood—St. James—Assiniboia—Headingley,Manitoba,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Doug Eyolfson,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/EyolfsonDoug_Lib.jpg
Provencher,Manitoba,PCC,2015-10-19 00:00:00,2019-10-20 23:59:59,Ted Falk,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/BachrachTaylor_NDP.jpg
Abbotsford,Colombie-Britannique,PCC,2015-10-19 00:00:00,2019-10-20 23:59:59,Ed Fast,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/FastEd_CPC.jpg
Hull—Aylmer,Québec,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Greg Fergus,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/FergusGreg_Lib.jpg
Halifax,Provinces maritimes,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Andy Fillmore,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/FillmoreAndy_Lib.jpg
Miramichi—Grand Lake,Provinces maritimes,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Pat Finnigan,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/StOngePascale_Lib.jpg
Dartmouth—Cole Harbour,Provinces maritimes,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Darren Fisher,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/FisherDarren_Lib.jpg
Mississauga-Est—Cooksville,Ontario,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Peter Fonseca,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/ManlyPaul_GP.jpg
Rivière-du-Nord,Québec,BQ,2015-10-19 00:00:00,2019-10-20 23:59:59,Rhéal Fortin,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/BragdonRichard_CPC.jpg
London-Centre-Nord,Ontario,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Peter Fragiskatos,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/FonsecaPeter_Lib.jpg
Nova-Ouest,Provinces maritimes,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Colin Fraser,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/FraserColin_Lib.jpg
Nova-Centre,Provinces maritimes,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Sean Fraser,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/LemireSébastien_BQ.jpg
Kelowna—Lake Country,Colombie-Britannique,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Stephen Fuhr,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/HarperStephen_CPC.jpg
Notre-Dame-de-Grâce—Westmount,Québec,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Marc Garneau,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/SerréMarc_Lib.jpg
Esquimalt—Saanich—Sooke,Colombie-Britannique,NPD,2015-10-19 00:00:00,2019-10-20 23:59:59,Randall Garrison,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/GarrisonRandall_NDP.jpg
Montmagny—L'Islet—Kamouraska—Rivière-du-Loup,Québec,PCC,2015-10-19 00:00:00,2019-10-20 23:59:59,Bernard Généreux,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/GénéreuxBernard_CPC.jpg
Sherwood Park—Fort Saskatchewan,Alberta,PCC,2015-10-19 00:00:00,2019-10-20 23:59:59,Garnett Genuis,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/GenuisGarnett_CPC.jpg
Kingston et les Îles,Ontario,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Mark Gerretsen,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/EykingMark_Lib.jpg
Portneuf—Jacques-Cartier,Québec,PCC,2015-10-19 00:00:00,2019-10-20 23:59:59,Joël Godin,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/GodinJoël_CPC.jpg
Regina—Wascana,Saskatchewan,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Ralph Goodale,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/GoodaleRalph_Lib.jpg
Lévis—Lotbinière,Québec,PCC,2015-10-19 00:00:00,2019-10-20 23:59:59,Jacques Gourde,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/GourdeJacques_CPC.jpg
Laurentides—Labelle,Québec,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,David de Burgh Graham,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/GrahamDavid_Lib.jpg
Brampton-Est,Ontario,Ind.,2015-10-19 00:00:00,2019-10-20 23:59:59,Raj Grewal,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/GrewalRaj_Lib.jpg
Fleetwood—Port Kells,Colombie-Britannique,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Ken Hardie,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/HardieKen_Lib.jpg
Calgary Heritage,Alberta,PCC,2015-10-19 00:00:00,2016-08-26 23:59:59,Stephen Harper,H,42,https://cdn-icons-png.flaticon.com/512/1/1247.png
Tobique—Mactaquac,Provinces maritimes,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,T.J. Harvey,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/BoucherSylvie_CPC.jpg
Lac-Saint-Jean,Québec,PLC,2017-10-23 00:00:00,2019-10-20 23:59:59,Richard Hébert,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/LehouxRichard_CPC.jpg
Calgary-Centre,Alberta,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Kent Hehr,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/HehrKent_Lib.jpg
Medicine Hat—Cardston—Warner,Alberta,PCC,2015-10-19 00:00:00,2016-03-23 23:59:59,Jim Hillyer,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/HillyerJim_CPC.jpg
Prince Albert,Saskatchewan,PCC,2015-10-19 00:00:00,2019-10-20 23:59:59,Randy Hoback,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/HobackRandy_CPC.jpg
Surrey-Sud—White Rock,Colombie-Britannique,PLC,2017-12-11 00:00:00,2019-10-20 23:59:59,Gordie Hogg,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/HoggGordie_Lib.jpg
Ajax,Ontario,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Mark Holland,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/GerretsenMark_Lib.jpg
Mont-Royal,Québec,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Anthony Housefather,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/HousefatherAnthony_Lib.jpg
